| Abbeydale | NE/SE | Northeast | 10 | Residential | 1976 | 5925 | 5,700 | 2,023 | 1.7 | 3,480.6 | Very small section falls into the SE |
| Valley Ridge | NW | West |   | Residential |   | 5365 | 5,042 | 1,768 | 3.3 | 1,519.1 |   |
| Valleyfield | SE | East |   | Industrial |   | 0 | 0 | 6 | 1.2 | 0 |   |
| Varsity | NW | Northwest |   | Residential |   | 12040 | 12,021 | 5,547 | 6.8 | 1,794.1 |   |
| Vermilion Hills |   |   |   |   |   |   |   |   |   |   |   |
| Vista Heights | NE | Northeast |   | Residential |   | 2300 | 2,274 | 844 | 1.1 | 2,003.6 |   |
| Walden | SE | South |   | Residential |   | 7650 | 594 | 450 | 2.4 | 389.6 |   |
| West Hillhurst | NW | Centre |   | Residential |   | 6635 | 5,757 | 2,947 | 2.4 | 2,417.5 |   |
| West Springs | SW | West |   | Residential |   | 11560 | 7,849 | 2,795 | 4.1 | 2,006.8 |   |
| Westgate | SW | West |   | Residential |   | 3225 | 3,101 | 1,334 | 1.2 | 2,643.3 |   |
| Westwinds | NE | Northeast | 5 | Industrial |   | 0 | 0 | 0 | 2 | 0 |   |
| Whitehorn | NE | Northeast | 10 | Residential |   | 11085 | 11,541 | 3,869 | 2.6 | 4,558.5 |   |
| Wildwood | SW | West |   | Residential | 1956 | 2765 | 2,582 | 1,056 | 2.6 | 999.2 |   |
| Willow Park | SE | South |   | Residential |   | 5050 | 5,308 | 2,282 | 3.4 | 1,537.9 |   |
| Windsor Park | SW | Centre |   | Residential |   | 4410 | 3,858 | 2,421 | 1.3 | 3,173.8 |   |
| Winston Heights/Mountview | NE | Centre |   | Residential |   | 3605 | 3,760 | 1,883 | 3 | 1,297 |   |
| Wolf Willow | SE | South |   | Residential |   | 525 |   |   |   |   |   |
| Woodbine | SW | South |   | Residential | 1980 | 8745 | 9,086 | 3,371 | 3.2 | 2,853.4 |   |
| Woodlands | SW | South |   | Residential | 1976 | 5830 | 6,201 | 2,397 | 2.8 | 2,214.6 |   |
| Yorkville | SW | South | 13 | Residential |   | 715 |   |   |   | ? |   |
